food_id,food_name,category,serving_size,serving_unit,diet_type,nutrients
F017,Green Chilli,Veg,100,g,Vegetarian,Magnesium|Potassium|Vitamin A|Vitamin C|Vitamin B6|Iron
F018,Brinjal (Eggplant),Veg,100,g,Vegetarian,Iron|Zinc|Potassium|Dietary Fiber|Vitamin B6|Manganese
F019,Mathanga (Pumpkin),Veg,100,g,Vegetarian,Magnesium|Potassium|Vitamin A|Vitamin C|Dietary Fiber|Total Carbohydrates
F020,Green Peas,Veg,100,g,Vegetarian,Magnesium|Potassium|Folate (Vitamin B9)|Vitamin C|Net Protein|Dietary Fiber
F021,Mushroom,Veg,100,g,Vegetarian,Potassium|Selenium|Vitamin B2 (Riboflavin)|Vitamin B3 (Niacin)|Net Protein|Choline|Vitamin D
F022,Potato,Veg,100,g,Vegetarian,Potassium|Vitamin C|Vitamin B6|Total Carbohydrates|Dietary Fiber|Glucose/Glycemic Impact
F023,Sweet Potato,Veg,100,g,Vegetarian,Potassium|Vitamin A|Vitamin B5 (Pantothenic Acid)|Total Carbohydrates|Dietary Fiber|Vitamin B6
F024,Chena (Yam),Veg,100,g,Vegetarian,Potassium|Vitamin C|Vitamin B6|Total Carbohydrates|Dietary Fiber|Magnesium
F025,Kappa (Tapioca),Tuber,100,g,Vegetarian,Potassium|Calcium|Total Carbohydrates|Dietary Fiber|Glucose/Glycemic Impact|Vitamin C
F026,Corn (Maize),Grain,100,g,Vegetarian,Magnesium|Potassium|Vitamin B3 (Niacin)|Total Carbohydrates|Dietary Fiber|Phosphorus
F027,White Rice,Grain,100,g,Vegetarian,Magnesium|Phosphorus|Vitamin B1 (Thiamine)|Vitamin B3 (Niacin)|Total Carbohydrates|Net Protein
F028,Matta Rice (Red Rice),Grain,100,g,Vegetarian,Magnesium|Phosphorus|Vitamin B1 (Thiamine)|Total Carbohydrates|Dietary Fiber|Net Protein
F029,Wheat (Atta),Grain,100,g,Vegetarian,Magnesium|Phosphorus|Vitamin B1 (Thiamine)|Vitamin B3 (Niacin)|Total Carbohydrates|Dietary Fiber
F030,Oats,Grain,100,g,Vegetarian,Magnesium|Phosphorus|Vitamin B1 (Thiamine)|Vitamin B3 (Niacin)|Total Carbohydrates|Dietary Fiber
F031,Ragi (Finger Millet),Grain,100,g,Vegetarian,Iron|Calcium|Magnesium|Phosphorus|Total Carbohydrates|Dietary Fiber
F032,Bajra (Pearl Millet),Grain,100,g,Vegetarian,Iron|Magnesium|Phosphorus|Vitamin B1 (Thiamine)|Total Carbohydrates|Net Protein
F033,Jowar (Sorghum),Grain,100,g,Vegetarian,Magnesium|Potassium|Folate (Vitamin B9)|Total Carbohydrates|Dietary Fiber|Net Protein
F034,Barley,Grain,100,g,Vegetarian,Magnesium|Phosphorus|Vitamin B1 (Thiamine)|Vitamin B3 (Niacin)|Total Carbohydrates|Dietary Fiber
F035,Quinoa,Grain,100,g,Vegetarian,Iron|Magnesium|Potassium|Net Protein|Dietary Fiber|Zinc
F036,Bamboo Rice,Grain,100,g,Vegetarian,Iron|Magnesium|Phosphorus|Net Protein|Total Carbohydrates|Dietary Fiber
F037,Cherupayaru (Moong Dal),Legume,100,g,Vegetarian,Iron|Magnesium|Zinc|Folate (Vitamin B9)|Net Protein|Dietary Fiber
F038,Masoor Dal (Red Lentil),Legume,100,g,Vegetarian,Iron|Magnesium|Zinc|Folate (Vitamin B9)|Net Protein|Dietary Fiber
F039,Uzhunnu (Urad Dal),Legume,100,g,Vegetarian,Iron|Magnesium|Zinc|Folate (Vitamin B9)|Net Protein|Dietary Fiber
F040,Chana Dal,Legume,100,g,Vegetarian,Iron|Magnesium|Zinc|Folate (Vitamin B9)|Net Protein|Dietary Fiber
F041,Rajma (Kidney Beans),Legume,100,g,Vegetarian,Iron|Magnesium|Zinc|Folate (Vitamin B9)|Net Protein|Dietary Fiber
F042,Vella Kadala (Chickpeas),Legume,100,g,Vegetarian,Iron|Zinc|Potassium|Folate (Vitamin B9)|Net Protein|Dietary Fiber
F043,Soybean,Legume,100,g,Vegetarian,Iron|Calcium|Magnesium|Folate (Vitamin B9)|Net Protein|Dietary Fiber
F044,Green Gram (Whole),Legume,100,g,Vegetarian,Iron|Potassium|Folate (Vitamin B9)|Vitamin C|Net Protein|Dietary Fiber
F045,Karutha Kadala (Black Chana),Legume,100,g,Vegetarian,Iron|Magnesium|Zinc|Folate (Vitamin B9)|Net Protein|Dietary Fiber
F046,Muthira (Horse Gram),Legume,100,g,Vegetarian,Iron|Magnesium|Potassium|Folate (Vitamin B9)|Net Protein|Dietary Fiber
F047,Almond,Nut,100,g,Vegetarian,Calcium|Magnesium|Zinc|Vitamin E|Vitamin B7 (Biotin)|Net Protein
F048,Cashew,Nut,100,g,Vegetarian,Magnesium|Zinc|Copper|Vitamin E|Net Protein|Total Carbohydrates
F049,Pistachio,Nut,100,g,Vegetarian,Potassium|Copper|Vitamin B6|Net Protein|Vitamin B1 (Thiamine)|Magnesium
F050,Walnut,Nut,100,g,Vegetarian,Magnesium|Zinc|Copper|Vitamin E|Omega-3 Fatty Acids|Net Protein
F051,Peanut,Nut,100,g,Vegetarian,Magnesium|Zinc|Copper|Vitamin B3 (Niacin)|Net Protein|Folate (Vitamin B9)
F052,Coconut (Grated),Nut,100,g,Vegetarian,Magnesium|Potassium|Copper|Saturated Fat|Dietary Fiber|Manganese
F053,Pumpkin Seeds,Seed,100,g,Vegetarian,Iron|Magnesium|Zinc|Copper|Net Protein|Manganese
F054,Flax Seeds,Seed,100,g,Vegetarian,Magnesium|Zinc|Copper|Vitamin E|Omega-3 Fatty Acids|Dietary Fiber
F055,Ellu (Sesame Seeds),Seed,100,g,Vegetarian,Iron|Calcium|Magnesium|Zinc|Copper|Net Protein
F056,Sunflower Seeds,Seed,100,g,Vegetarian,Magnesium|Zinc|Copper|Vitamin E|Net Protein|Folate (Vitamin B9)
F057,Chia Seeds,Seed,100,g,Vegetarian,Calcium|Magnesium|Zinc|Copper|Omega-3 Fatty Acids|Dietary Fiber
F058,Milk,Dairy,100,g,Vegetarian,Calcium|Vitamin D|Vitamin B12|Vitamin B5 (Pantothenic Acid)|Net Protein|Cholesterol (Total)
F059,Curd (Yogurt),Dairy,100,g,Vegetarian,Calcium|Sodium|Vitamin D|Vitamin B12|Net Protein|Iodine
F060,Paneer,Dairy,100,g,Vegetarian,Calcium|Vitamin D|Vitamin B12|Net Protein|Cholesterol (Total)|Saturated Fat
F061,Cheese,Dairy,100,g,Vegetarian,Calcium|Sodium|Vitamin B12|Net Protein|Saturated Fat|Cholesterol (Total)
F062,Butter,Dairy,100,g,Vegetarian,Calcium|Vitamin B12|Vitamin A|Saturated Fat|Cholesterol (Total)|Sodium
F063,Ghee,Dairy,100,g,Vegetarian,Vitamin A|Vitamin D|Vitamin E|Saturated Fat|Cholesterol (Total)|Omega-3 Fatty Acids
F064,Egg,Egg,100,g,Vegetarian,Potassium|Vitamin D|Vitamin B12|Vitamin A|Net Protein|Cholesterol (Total)
F065,Chicken Breast,Meat,100,g,Non-Vegetarian,Vitamin B12|Vitamin B6|Vitamin B3 (Niacin)|Net Protein|Selenium|Cholesterol (Total)
F066,Mutton,Meat,100,g,Non-Vegetarian,Iron|Zinc|Phosphorus|Vitamin B12|Net Protein|Saturated Fat
F067,Pork,Meat,100,g,Non-Vegetarian,Iron|Vitamin B12|Vitamin B6|Vitamin B1 (Thiamine)|Net Protein|Saturated Fat
F068,Beef,Meat,100,g,Non-Vegetarian,Iron|Zinc|Phosphorus|Vitamin B12|Net Protein|Saturated Fat
F069,Duck Meat,Meat,100,g,Non-Vegetarian,Iron|Zinc|Phosphorus|Vitamin B12|Net Protein|Saturated Fat
F070,Turkey,Meat,100,g,Non-Vegetarian,Potassium|Vitamin C|Vitamin B6|Vitamin B3 (Niacin)|Net Protein|Selenium
F071,Goat Meat,Meat,100,g,Non-Vegetarian,Iron|Potassium|Vitamin B12|Vitamin C|Net Protein|Zinc
F072,Chicken Liver,Meat,100,g,Non-Vegetarian,Iron|Vitamin B12|Folate (Vitamin B9)|Vitamin A|Net Protein|Copper
F073,Mathi (Sardine),Fish,100,g,Non-Vegetarian,Iron|Selenium|Vitamin D|Vitamin B12|Omega-3 Fatty Acids|Net Protein
F074,Ayala (Mackerel),Fish,100,g,Non-Vegetarian,Potassium|Selenium|Vitamin D|Vitamin B12|Omega-3 Fatty Acids|Net Protein
F075,Karimeen (Pearl Spot),Fish,100,g,Non-Vegetarian,Potassium|Phosphorus|Vitamin D|Vitamin C|Net Protein|Omega-3 Fatty Acids
F076,Neymeen (Seer Fish),Fish,100,g,Non-Vegetarian,Iron|Calcium|Zinc|Vitamin B12|Omega-3 Fatty Acids|Net Protein
F077,Netholi (Anchovy),Fish,100,g,Non-Vegetarian,Magnesium|Potassium|Vitamin B12|Vitamin C|Net Protein|Calcium
F078,Choora (Tuna),Fish,100,g,Non-Vegetarian,Magnesium|Potassium|Vitamin B12|Vitamin C|Net Protein|Selenium
F079,Salmon,Fish,100,g,Non-Vegetarian,Potassium|Selenium|Vitamin D|Vitamin C|Omega-3 Fatty Acids|Net Protein
F080,Tilapia,Fish,100,g,Non-Vegetarian,Potassium|Phosphorus|Vitamin B12|Vitamin C|Net Protein|Magnesium
F081,Catfish,Fish,100,g,Non-Vegetarian,Magnesium|Potassium|Vitamin B12|Vitamin C|Net Protein|Phosphorus
F082,Sheelavu (Barracuda),Fish,100,g,Non-Vegetarian,Iron|Zinc|Phosphorus|Vitamin B12|Net Protein|Selenium
F083,Njandu (Crab),Seafood,100,g,Non-Vegetarian,Zinc|Potassium|Selenium|Vitamin C|Net Protein|Vitamin B12
F084,Koonthal (Squid),Seafood,100,g,Non-Vegetarian,Potassium|Selenium|Copper|Vitamin B12|Net Protein|Sodium
F085,Octopus,Seafood,100,g,Non-Vegetarian,Iron|Potassium|Vitamin B12|Vitamin C|Net Protein|Selenium
F086,Chemmeen (Shrimp),Seafood,100,g,Non-Vegetarian,Potassium|Iodine|Vitamin B12|Vitamin C|Net Protein|Cholesterol (Total)
F087,Oyster,Seafood,100,g,Non-Vegetarian,Zinc|Potassium|Selenium|Vitamin B12|Net Protein|Iron
F088,Pacha Chakka (Raw Jackfruit),Fruit,100,g,Vegetarian,Potassium|Vitamin C|Dietary Fiber|Glucose/Glycemic Impact|Total Carbohydrates|Magnesium
F089,Jackfruit Seeds,Veg,100,g,Vegetarian,Iron|Magnesium|Vitamin B1 (Thiamine)|Total Carbohydrates|Dietary Fiber|Net Protein
F090,Pavakka (Bitter Gourd),Veg,100,g,Vegetarian,Vitamin C|Dietary Fiber|Glucose/Glycemic Impact|Manganese|Iron|Magnesium
F091,Padavalanga (Snake Gourd),Veg,100,g,Vegetarian,Calcium|Potassium|Vitamin C|Dietary Fiber|Vitamin B6|Magnesium
F092,Kovakkai (Ivy Gourd),Veg,100,g,Vegetarian,Iron|Calcium|Vitamin C|Vitamin B1 (Thiamine)|Vitamin B2 (Riboflavin)|Dietary Fiber
F093,Lauki (Bottle Gourd),Veg,100,g,Vegetarian,Iron|Calcium|Potassium|Vitamin C|Dietary Fiber|Vitamin B6
F094,Kumbalanga (Ash Gourd),Veg,100,g,Vegetarian,Calcium|Magnesium|Potassium|Vitamin C|Dietary Fiber|Vitamin B6
F095,Muringakkai (Drumstick),Veg,100,g,Vegetarian,Calcium|Magnesium|Potassium|Vitamin C|Dietary Fiber|Vitamin A
F096,Vendakka (Okra),Veg,100,g,Vegetarian,Iron|Calcium|Magnesium|Folate (Vitamin B9)|Vitamin C|Dietary Fiber
F097,Chembu (Colocasia),Tuber,100,g,Vegetarian,Iron|Magnesium|Potassium|Vitamin B6|Total Carbohydrates|Dietary Fiber
F098,Chena (Elephant Foot Yam),Tuber,100,g,Vegetarian,Potassium|Folate (Vitamin B9)|Vitamin C|Total Carbohydrates|Dietary Fiber|Vitamin B6
F099,Vazhakka (Raw Plantain),Veg,100,g,Vegetarian,Potassium|Vitamin C|Vitamin B6|Total Carbohydrates|Dietary Fiber|Magnesium
F100,Vazhapoo (Plantain Flower),Veg,100,g,Vegetarian,Iron|Magnesium|Potassium|Vitamin C|Dietary Fiber|Vitamin E
F101,Vazhapindi (Plantain Stem),Veg,100,g,Vegetarian,Potassium|Vitamin C|Dietary Fiber|Magnesium|Calcium|Iron
F102,Raw Papaya,Veg,100,g,Vegetarian,Potassium|Vitamin C|Glucose/Glycemic Impact|Dietary Fiber|Magnesium|Calcium
F103,Shallots (Small Onions),Veg,100,g,Vegetarian,Potassium|Vitamin C|Glucose/Glycemic Impact|Folate (Vitamin B9)|Manganese|Selenium
F104,Nendran Banana,Fruit,100,g,Vegetarian,Magnesium|Potassium|Vitamin B6|Total Carbohydrates|Dietary Fiber|Folate (Vitamin B9)
F105,Palayankodan Banana,Fruit,100,g,Vegetarian,Potassium|Vitamin C|Total Carbohydrates|Dietary Fiber|Vitamin B6|Magnesium
F106,Ripe Mango,Fruit,100,g,Vegetarian,Potassium|Vitamin A|Vitamin C|Total Carbohydrates|Dietary Fiber|Folate (Vitamin B9)
F107,Raw Mango,Fruit,100,g,Vegetarian,Vitamin C|Glucose/Glycemic Impact|Dietary Fiber|Potassium|Vitamin A|Vitamin K
F108,Ripe Papaya,Fruit,100,g,Vegetarian,Potassium|Vitamin A|Vitamin C|Dietary Fiber|Folate (Vitamin B9)|Magnesium
F109,Pera (Guava),Fruit,100,g,Vegetarian,Potassium|Folate (Vitamin B9)|Vitamin C|Dietary Fiber|Vitamin A|Magnesium
F110,Pomegranate,Fruit,100,g,Vegetarian,Potassium|Folate (Vitamin B9)|Vitamin C|Vitamin K|Dietary Fiber|Total Carbohydrates
F111,Watermelon,Fruit,100,g,Vegetarian,Potassium|Vitamin A|Vitamin C|Magnesium|Total Carbohydrates|Glucose/Glycemic Impact
F112,Pineapple,Fruit,100,g,Vegetarian,Potassium|Folate (Vitamin B9)|Vitamin C|Manganese|Dietary Fiber|Total Carbohydrates
F113,Grapes,Fruit,100,g,Vegetarian,Potassium|Vitamin C|Vitamin K|Total Carbohydrates|Glucose/Glycemic Impact|Dietary Fiber
F114,Apple,Fruit,100,g,Vegetarian,Potassium|Vitamin C|Vitamin K|Dietary Fiber|Total Carbohydrates|Glucose/Glycemic Impact
F115,Chikoo (Sapota),Fruit,100,g,Vegetarian,Iron|Calcium|Magnesium|Potassium|Vitamin C|Dietary Fiber
F116,Custard Apple,Fruit,100,g,Vegetarian,Iron|Calcium|Magnesium|Potassium|Vitamin C|Total Carbohydrates
F117,Ripe Jackfruit,Fruit,100,g,Vegetarian,Magnesium|Potassium|Vitamin C|Vitamin B6|Total Carbohydrates|Dietary Fiber
F118,Karikku (Coconut Water),Drink,100,ml,Vegetarian,Magnesium|Potassium|Sodium|Calcium|Choline|Glucose/Glycemic Impact
F119,Coconut Oil,Oil,100,ml,Vegetarian,Saturated Fat|Vitamin E|Vitamin K|Choline|Cholesterol (Total)|Omega-3 Fatty Acids
F120,Nallenna (Sesame Oil),Oil,100,ml,Vegetarian,Vitamin E|Vitamin K|Omega-3 Fatty Acids|Saturated Fat|Cholesterol (Total)|Choline
F121,Rice Bran Oil,Oil,100,ml,Vegetarian,Vitamin E|Vitamin K|Saturated Fat|Omega-3 Fatty Acids|Cholesterol (Total)|Choline
F122,Manjal (Turmeric),Spice,100,g,Vegetarian,Iron|Manganese|Vitamin B6|Vitamin C|Glucose/Glycemic Impact|Potassium
F123,Black Pepper,Spice,100,g,Vegetarian,Manganese|Vitamin K|Iron|Copper|Calcium|Magnesium
F124,Inchi (Ginger),Spice,100,g,Vegetarian,Iron|Magnesium|Potassium|Vitamin C|Glucose/Glycemic Impact|Manganese
F125,Cardamom,Spice,100,g,Vegetarian,Magnesium|Potassium|Manganese|Iron|Calcium|Vitamin C
F126,Cinnamon,Spice,100,g,Vegetarian,Calcium|Manganese|Iron|Dietary Fiber|Vitamin K|Glucose/Glycemic Impact
F127,Cloves,Spice,100,g,Vegetarian,Manganese|Vitamin K|Vitamin C|Calcium|Magnesium|Iron
F128,Jeerakam (Cumin),Spice,100,g,Vegetarian,Iron|Magnesium|Manganese|Calcium|Zinc|Potassium
F129,Kaduku (Mustard Seeds),Spice,100,g,Vegetarian,Iron|Selenium|Magnesium|Manganese|Calcium|Omega-3 Fatty Acids
F130,Valan Puli (Tamarind),Spice,100,g,Vegetarian,Magnesium|Potassium|Calcium|Iron|Vitamin B1 (Thiamine)|Dietary Fiber
F131,Kodampuli (Camboge),Spice,100,g,Vegetarian,Vitamin C|Glucose/Glycemic Impact|Dietary Fiber|Potassium|Magnesium|Calcium
F132,Kayam (Asafoetida),Spice,100,g,Vegetarian,Iron|Calcium|Phosphorus|Dietary Fiber|Magnesium|Potassium
F133,Uluva (Fenugreek Seeds),Spice,100,g,Vegetarian,Iron|Magnesium|Folate (Vitamin B9)|Glucose/Glycemic Impact|Dietary Fiber|Net Protein
F134,Alfalfa Sprouts,Sprout,100,g,Vegetarian,Vitamin C|Vitamin K|Net Protein|Folate (Vitamin B9)|Manganese|Copper
F135,Moong Sprouted,Sprout,100,g,Vegetarian,Folate (Vitamin B9)|Vitamin C|Net Protein|Dietary Fiber|Iron|Magnesium
F136,Bengal Gram Sprouted,Sprout,100,g,Vegetarian,Iron|Folate (Vitamin B9)|Vitamin C|Net Protein|Dietary Fiber|Magnesium
F137,Tofu,Veggie,100,g,Vegetarian,Calcium|Magnesium|Zinc|Net Protein|Manganese|Copper
F138,Soy Chunks,Veggie,100,g,Vegetarian,Iron|Calcium|Magnesium|Net Protein|Dietary Fiber|Folate (Vitamin B9)
F139,Duck Egg,Egg,100,g,Vegetarian,Iron|Vitamin D|Vitamin B12|Vitamin A|Net Protein|Cholesterol (Total)
F140,Quail Egg,Egg,100,g,Vegetarian,Iron|Vitamin B12|Vitamin B6|Vitamin B2 (Riboflavin)|Net Protein|Cholesterol (Total)
F141,Beef Liver,Meat,100,g,Non-Vegetarian,Iron|Zinc|Vitamin B12|Folate (Vitamin B9)|Vitamin A|Net Protein
F142,Mutton Liver,Meat,100,g,Non-Vegetarian,Iron|Zinc|Vitamin B12|Folate (Vitamin B9)|Vitamin A|Net Protein
F143,Chicken Gizzard,Meat,100,g,Non-Vegetarian,Iron|Zinc|Vitamin B12|Net Protein|Selenium|Vitamin B2 (Riboflavin)
F144,Beef Heart,Meat,100,g,Non-Vegetarian,Iron|Vitamin B12|Selenium|Net Protein|Vitamin B2 (Riboflavin)|Vitamin B3 (Niacin)
F145,Kakka (Clams),Seafood,100,g,Non-Vegetarian,Iron|Zinc|Vitamin B12|Net Protein|Selenium|Copper
F146,Kallumakkaya (Mussels),Seafood,100,g,Non-Vegetarian,Iron|Selenium|Vitamin B12|Folate (Vitamin B9)|Net Protein|Zinc
F147,Lobster,Seafood,100,g,Non-Vegetarian,Zinc|Selenium|Copper|Vitamin B12|Net Protein|Sodium
F148,Large Crab,Seafood,100,g,Non-Vegetarian,Zinc|Selenium|Vitamin B12|Vitamin C|Net Protein|Copper
F149,Avoli (Pomfret),Fish,100,g,Non-Vegetarian,Selenium|Vitamin D|Vitamin B12|Omega-3 Fatty Acids|Net Protein|Potassium
F150,Neymeen (King Fish),Fish,100,g,Non-Vegetarian,Iron|Selenium|Vitamin B12|Omega-3 Fatty Acids|Net Protein|Phosphorus
F151,Vatta (Malabar Trevally),Fish,100,g,Non-Vegetarian,Potassium|Selenium|Vitamin B12|Net Protein|Phosphorus|Magnesium
F152,Nangu (Sole Fish),Fish,100,g,Non-Vegetarian,Potassium|Vitamin B12|Vitamin C|Net Protein|Selenium|Magnesium
F153,Kanambu (Mullet),Fish,100,g,Non-Vegetarian,Selenium|Vitamin B12|Omega-3 Fatty Acids|Net Protein|Potassium|Phosphorus
F154,Poomeen (Milkfish),Fish,100,g,Non-Vegetarian,Calcium|Potassium|Vitamin B12|Net Protein|Selenium|Phosphorus
F155,Sankara (Red Snapper),Fish,100,g,Non-Vegetarian,Selenium|Vitamin B12|Net Protein|Potassium|Phosphorus|Magnesium
F156,Sravu (Shark),Fish,100,g,Non-Vegetarian,Vitamin A|Vitamin B12|Net Protein|Selenium|Phosphorus|Magnesium
F157,Thirandi (Stingray),Fish,100,g,Non-Vegetarian,Vitamin B12|Net Protein|Selenium|Phosphorus|Magnesium|Zinc
F158,Kaala (Indian Salmon),Fish,100,g,Non-Vegetarian,Selenium|Vitamin D|Omega-3 Fatty Acids|Net Protein|Vitamin B12|Potassium
F159,Malanjil (Eel),Fish,100,g,Non-Vegetarian,Vitamin A|Vitamin B12|Net Protein|Vitamin D|Selenium|Phosphorus
F160,Butter Fish (Puzha Meen),Fish,100,g,Non-Vegetarian,Vitamin B12|Vitamin C|Net Protein|Selenium|Phosphorus|Magnesium
F161,Kalanji (Sea Bass),Fish,100,g,Non-Vegetarian,Selenium|Vitamin B12|Net Protein|Potassium|Phosphorus|Magnesium
F162,Eri (Emperor Fish),Fish,100,g,Non-Vegetarian,Vitamin B12|Net Protein|Selenium|Phosphorus|Magnesium|Zinc
F163,Pearl Spot (Small),Fish,100,g,Non-Vegetarian,Potassium|Vitamin B12|Net Protein|Phosphorus|Magnesium|Selenium
F164,Karuvadu (Dried Fish),Fish,100,g,Non-Vegetarian,Sodium|Calcium|Net Protein|Vitamin B12|Phosphorus|Selenium
F165,Dried Shrimp,Fish,100,g,Non-Vegetarian,Sodium|Calcium|Vitamin B12|Net Protein|Selenium|Iron
F166,Sambharam (Buttermilk),Dairy,100,ml,Vegetarian,Calcium|Potassium|Sodium|Vitamin B12|Magnesium|Iodine
F167,Goat Milk,Dairy,100,ml,Vegetarian,Calcium|Magnesium|Potassium|Vitamin D|Vitamin B12|Net Protein
F168,Buffalo Milk,Dairy,100,ml,Vegetarian,Calcium|Vitamin D|Vitamin B12|Saturated Fat|Net Protein|Phosphorus
F169,Skimmed Milk,Dairy,100,ml,Vegetarian,Calcium|Vitamin B12|Net Protein|Potassium|Phosphorus|Magnesium
F170,Greek Yogurt,Dairy,100,g,Vegetarian,Calcium|Vitamin B12|Net Protein|Potassium|Phosphorus|Magnesium
F171,Almond Milk,Vegan,100,ml,Vegetarian,Calcium|Vitamin E|Potassium|Magnesium|Manganese|Sodium
F172,Soy Milk,Vegan,100,ml,Vegetarian,Calcium|Magnesium|Net Protein|Potassium|Phosphorus|Vitamin B2 (Riboflavin)
F173,Palu (Coconut Milk),Vegan,100,ml,Vegetarian,Magnesium|Potassium|Saturated Fat|Manganese|Copper|Selenium
F174,Peanut Butter,Nut,100,g,Vegetarian,Magnesium|Vitamin B3 (Niacin)|Net Protein|Copper|Manganese|Folate (Vitamin B9)
F175,Tahini (Sesame Paste),Seed,100,g,Vegetarian,Iron|Calcium|Zinc|Net Protein|Copper|Manganese
F176,Pistachio Butter,Nut,100,g,Vegetarian,Potassium|Copper|Net Protein|Magnesium|Vitamin B6|Manganese
F177,Brazil Nut,Nut,100,g,Vegetarian,Selenium|Magnesium|Copper|Phosphorus|Manganese|Net Protein
F178,Pecan,Nut,100,g,Vegetarian,Magnesium|Zinc|Vitamin E|Manganese|Copper|Dietary Fiber
F179,Macadamia,Nut,100,g,Vegetarian,Vitamin B1 (Thiamine)|Saturated Fat|Manganese|Copper|Magnesium|Dietary Fiber
F180,Hazelnut,Nut,100,g,Vegetarian,Magnesium|Copper|Vitamin E|Manganese|Net Protein|Dietary Fiber
F181,Kasakas (Poppy Seeds),Seed,100,g,Vegetarian,Iron|Calcium|Magnesium|Manganese|Phosphorus|Copper
F182,Sunflower Oil,Oil,100,ml,Vegetarian,Vitamin E|Saturated Fat|Omega-3 Fatty Acids|Cholesterol (Total)|Choline|Vitamin K
F183,Olive Oil,Oil,100,ml,Vegetarian,Vitamin E|Vitamin K|Saturated Fat|Omega-3 Fatty Acids|Cholesterol (Total)|Choline
F184,Palm Oil,Oil,100,ml,Vegetarian,Vitamin A|Vitamin E|Saturated Fat|Cholesterol (Total)|Choline|Vitamin K
F185,Fish Oil,Supplement,10,ml,Non-Vegetarian,Vitamin D|Vitamin A|Omega-3 Fatty Acids|Cholesterol (Total)|Saturated Fat|Vitamin E
F186,Cod Liver Oil,Supplement,10,ml,Non-Vegetarian,Vitamin D|Vitamin A|Omega-3 Fatty Acids|Cholesterol (Total)|Saturated Fat|Vitamin E
F187,Brewer's Yeast,Veggie,100,g,Vegetarian,Folate (Vitamin B9)|Vitamin B6|Vitamin B1 (Thiamine)|Vitamin B2 (Riboflavin)|Vitamin B7 (Biotin)|Vitamin B3 (Niacin)
F188,Spirulina,Veggie,100,g,Vegetarian,Iron|Selenium|Net Protein|Vitamin B2 (Riboflavin)|Copper|Manganese
F189,Nutritional Yeast,Veggie,100,g,Vegetarian,Vitamin B12|Folate (Vitamin B9)|Vitamin B6|Vitamin B1 (Thiamine)|Vitamin B2 (Riboflavin)|Vitamin B7 (Biotin)
F190,Dark Cocoa Powder,Veggie,100,g,Vegetarian,Iron|Magnesium|Zinc|Copper|Manganese|Dietary Fiber
F191,Green Tea,Drink,1,cup,Vegetarian,Glucose/Glycemic Impact|Manganese|Potassium|Magnesium|Vitamin C|Sodium
F192,Black Tea,Drink,1,cup,Vegetarian,Glucose/Glycemic Impact|Manganese|Potassium|Magnesium|Fluoride|Sodium
F193,Coffee,Drink,1,cup,Vegetarian,Magnesium|Vitamin B3 (Niacin)|Glucose/Glycemic Impact|Potassium|Choline|Manganese
